position,substitute,match_id,player.name,player.id,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.goalAssist,statistics.accurateOwnHalfPasses,statistics.totalOwnHalfPasses,statistics.accurateOppositionHalfPasses,statistics.totalOppositionHalfPasses,statistics.ballRecovery,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedAssists,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalShots,statistics.goalsPrevented,statistics.totalCross,statistics.duelWon,statistics.bigChanceMissed,statistics.shotOffTarget,statistics.onTargetScoringAttempt,statistics.hitWoodwork,statistics.outfielderBlock,statistics.interceptionWon,statistics.wasFouled,statistics.totalOffside,statistics.expectedGoals,statistics.expectedGoalsOnTarget,statistics.totalClearance,statistics.keyPass,statistics.aerialLost,statistics.duelLost,statistics.challengeLost,statistics.errorLeadToAGoal,statistics.unsuccessfulTouch,statistics.aerialWon,statistics.fouls,statistics.totalContest,statistics.wonContest,statistics.dispossessed,statistics.blockedScoringAttempt,statistics.totalTackle,statistics.wonTackle,statistics.accurateCross,statistics.bigChanceCreated,statistics.goodHighClaim,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.errorLeadToAShot,statistics.goals,statistics.crossNotClaimed,statistics.punches,statistics.clearanceOffLine,statistics.penaltyWon,statistics.penaltyConceded,statistics.penaltyFaced,statistics.lastManTackle,statistics.penaltyMiss,statistics.penaltySave,statistics.ownGoals
D,True,12437498,Jon Aramburu,1116388,19.0,14.0,,,0,1.0,3.0,13.0,17.0,1.0,,,29,29.0,7.0,7.0,0.0632369,7.0,7.0,0,,1.0,3.0,,,,,,,1.0,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
F,True,12437498,Ander Barrenetxea,966862,16.0,13.0,,,0,1.0,1.0,12.0,22.0,2.0,,,29,30.0,6.7,13.0,0.0288753,6.7,6.4,0,,7.0,2.0,,,,,,,1.0,1.0,,,,,,3.0,,,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
M,True,12437498,Luka Sučić,949156,9.0,9.0,,,0,4.0,4.0,5.0,5.0,3.0,,,13,12.0,7.0,1.0,0.10888,7.0,6.7,1,,,1.0,,,,,,,,,0.0065,,,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
D,True,12437498,Javi López,945404,12.0,11.0,,,0,3.0,3.0,8.0,11.0,,,,12,17.0,6.6,3.0,0.00226353,6.6,6.8,0,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
F,True,12437498,Arkaitz Mariezkurrena,1526575,2.0,1.0,,,0,,1.0,2.0,2.0,,,,11,5.0,6.6,1.0,0.112378,6.6,6.6,1,,1.0,,1.0,,1.0,,,,,,0.1315,0.1866,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
G,False,12437498,Vicente Guaita,32023,34.0,17.0,22.0,6.0,0,13.0,16.0,4.0,18.0,6.0,4.0,4.0,90,49.0,7.8,19.0,0.0011059,7.8,6.9,0,0.8183,,,,,,,,,,,,,3.0,,,1.0,,,1.0,,,,,1.0,,,,,,2.0,,,,,1.0,2.0,,,,,,,,
D,False,12437498,Javi Rodríguez,1526627,46.0,43.0,3.0,2.0,0,36.0,38.0,7.0,8.0,3.0,,,90,56.0,7.2,4.0,0.00557284,7.2,7.0,0,,,2.0,,,,,1.0,1.0,,,,,3.0,1.0,2.0,5.0,,,,1.0,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,
D,False,12437498,Carlos Domínguez,1069703,28.0,26.0,3.0,2.0,0,22.0,23.0,4.0,5.0,2.0,,,90,45.0,7.5,3.0,0.00093184,7.5,7.8,0,,,2.0,,,,,1.0,,1.0,,,,9.0,,2.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,
D,False,12437498,Mihailo Ristić,363774,41.0,34.0,5.0,,0,29.0,32.0,6.0,10.0,3.0,,,77,49.0,6.7,7.0,0.00242865,6.7,6.8,0,,1.0,2.0,,,,,,,,,,,7.0,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
M,False,12437498,Óscar Mingueza,859773,35.0,20.0,11.0,3.0,0,13.0,21.0,7.0,14.0,3.0,,,90,57.0,6.7,17.0,0.161751,6.7,6.6,1,,,3.0,,1.0,,,,,2.0,,0.0196,,1.0,,1.0,5.0,2.0,,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
M,False,12437498,Fran Beltrán,835484,27.0,20.0,5.0,1.0,0,13.0,15.0,7.0,12.0,4.0,,,89,40.0,6.9,8.0,0.00606658,6.9,6.9,0,,,5.0,,,,,1.0,1.0,2.0,,,,2.0,,4.0,5.0,1.0,,1.0,1.0,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,
M,False,12437498,Ilaix Moriba,962890,20.0,15.0,4.0,2.0,0,7.0,9.0,8.0,11.0,1.0,,,90,31.0,6.3,7.0,0.00759732,6.3,6.3,0,,,3.0,,,,,,,1.0,,,,3.0,,1.0,7.0,3.0,,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
M,False,12437498,Sergio Carreira,1002764,42.0,33.0,4.0,1.0,0,26.0,33.0,7.0,9.0,4.0,,,90,56.0,6.6,13.0,0.00813162,6.6,6.7,1,,,2.0,,,,,,,1.0,,0.0284,,1.0,,,2.0,1.0,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
F,False,12437498,Fer López,1526628,14.0,12.0,2.0,1.0,0,4.0,6.0,8.0,8.0,,,,66,23.0,7.0,7.0,0.130048,7.0,6.4,1,,,2.0,,1.0,,,,,1.0,2.0,0.1222,,,1.0,1.0,4.0,2.0,,4.0,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,
F,False,12437498,Borja Iglesias,785989,15.0,9.0,3.0,2.0,0,5.0,7.0,4.0,8.0,2.0,,,77,30.0,6.9,11.0,0.00653008,6.9,7.0,1,,,7.0,1.0,1.0,,,,,4.0,,0.3704,,2.0,2.0,2.0,4.0,,,4.0,1.0,1.0,3.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,
F,False,12437498,Alfon González,1468090,11.0,7.0,,,0,2.0,4.0,5.0,7.0,2.0,,,77,23.0,7.2,7.0,0.137066,7.2,7.7,2,,,4.0,1.0,,2.0,,,,3.0,,0.5995,0.7378,,1.0,,1.0,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,
F,True,12437498,Pablo Durán,1398524,3.0,1.0,1.0,1.0,0,,,1.0,3.0,1.0,,,24,10.0,6.6,3.0,0.00211453,6.6,6.4,0,,,2.0,,,,,,,1.0,1.0,,,3.0,,3.0,5.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
D,True,12437498,Yoel Lago,1145100,,,,,0,,,,,,,,13,6.0,6.8,1.0,,6.8,6.8,0,,,,,,,,1.0,,,,,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
M,True,12437498,Iker Losada,992331,3.0,2.0,,,0,1.0,2.0,1.0,1.0,,,,13,4.0,6.6,1.0,7.139e-05,6.6,6.5,0,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,True,12437498,Williot Swedberg,1126779,2.0,1.0,1.0,,0,1.0,1.0,,1.0,2.0,,,13,5.0,6.6,2.0,3.69e-06,6.6,6.7,0,,,2.0,,,,,,,,,,,,,,2.0,1.0,,1.0,,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,
M,True,12437498,Hugo Sotelo,1120669,1.0,,,,0,,,,1.0,,,,1,1.0,,1.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
